f1_macro	precision_macro	recall_macro	algorithm	max_iterations	c1	c2	included_features
0.998082133	0.9964014131	0.9997872024	lbfgs	None	1	1	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	1	1	['rnn_proba', 'cluster', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	1	1	['rnn_proba', 'word', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	1	1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	1	0.1	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	1	0.1	['rnn_proba', 'cluster', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	1	0.1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.1	1	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.1	1	['rnn_proba', 'word', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.1	1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.1	0.1	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.1	0.1	['rnn_proba', 'word', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.1	0.1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.1	0.01	['rnn_proba', 'word', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.1	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.01	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.01	['rnn_proba', 'word', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.01	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.001	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.001	['rnn_proba', 'word', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.001	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.001	1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.001	0.1	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.001	0.1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.001	0.01	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.001	0.001	['rnn_proba', 'word', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	1	0.1	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	1	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0.1	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0.01	['rnn_proba', 'word', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0.01	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0.01	['rnn_proba', 'word', 'pos', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0.001	['rnn_proba', 'word', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0.001	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0.001	['rnn_proba', 'word', 'pos', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0	['rnn_proba', 'word', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0	['rnn_proba', 'word', 'pos', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.01	1	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.01	1	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.01	0.1	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.01	0.1	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.01	0.01	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	1	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	1	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	0.1	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	0.1	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	0.01	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	0.01	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	0.01	['rnn_proba', 'word', 'pos', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	0.001	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	0.001	['rnn_proba', 'word', 'pos', 'cluster']
0.9977975987	0.9970005148	0.9986115992	lbfgs	None	0.1	0	['rnn_proba', 'cluster', 'pos']
0.9977975987	0.9970005148	0.9986115992	lbfgs	None	0.01	0	['rnn_proba', 'cluster', 'pos']
0.9977975987	0.9970005148	0.9986115992	lbfgs	None	0.001	0	['rnn_proba', 'cluster', 'pos']
0.9976151184	0.996159518	0.999092758	lbfgs	None	0.01	1	['rnn_proba', 'word', 'cluster']
0.9976151184	0.996159518	0.999092758	lbfgs	None	0.001	1	['rnn_proba', 'word', 'cluster']
0.9975683507	0.9961372851	0.9990209189	lbfgs	None	1	0.01	['rnn_proba', 'word', 'cluster']
0.9975683507	0.9961372851	0.9990209189	lbfgs	None	1	0.01	['rnn_proba', 'word', 'pos', 'cluster']
0.9975683507	0.9961372851	0.9990209189	lbfgs	None	1	0.001	['rnn_proba', 'word', 'cluster']
0.9975683507	0.9961372851	0.9990209189	lbfgs	None	1	0.001	['rnn_proba', 'cluster', 'pos']
0.9975683507	0.9961372851	0.9990209189	lbfgs	None	1	0.001	['rnn_proba', 'word', 'pos', 'cluster']
0.9975658458	0.9963387335	0.9988205823	lbfgs	None	0.01	0	['rnn_proba', 'word', 'cluster']
0.9975658458	0.9963387335	0.9988205823	lbfgs	None	0.01	0	['rnn_proba', 'word', 'pos']
0.9975658458	0.9963387335	0.9988205823	lbfgs	None	0.01	0	['rnn_proba', 'word', 'pos', 'cluster']
0.9975658458	0.9963387335	0.9988205823	lbfgs	None	0.001	0	['rnn_proba', 'word', 'cluster']
0.9975658458	0.9963387335	0.9988205823	lbfgs	None	0.001	0	['rnn_proba', 'word', 'pos']
0.9975658458	0.9963387335	0.9988205823	lbfgs	None	0.001	0	['rnn_proba', 'word', 'pos', 'cluster']
0.9974316526	0.9969594803	0.9979171547	lbfgs	None	0.01	0.001	['rnn_proba', 'cluster', 'pos']
0.9974303132	0.9963062132	0.9985824871	lbfgs	None	0.1	0.001	['rnn_proba', 'cluster', 'pos']
0.9974248497	0.9961071576	0.9987635186	lbfgs	None	1	0.01	['rnn_proba', 'cluster', 'pos']
0.9974248497	0.9961071576	0.9987635186	lbfgs	None	1	0.01	['rnn_proba', 'word', 'pos']
0.9974248497	0.9961071576	0.9987635186	lbfgs	None	1	0.001	['rnn_proba', 'word', 'pos']
0.9974248497	0.9961071576	0.9987635186	lbfgs	None	1	0	['rnn_proba', 'word', 'cluster']
0.9974248497	0.9961071576	0.9987635186	lbfgs	None	1	0	['rnn_proba', 'cluster', 'pos']
0.9974248497	0.9961071576	0.9987635186	lbfgs	None	1	0	['rnn_proba', 'word', 'pos']
0.9974248497	0.9961071576	0.9987635186	lbfgs	None	1	0	['rnn_proba', 'word', 'pos', 'cluster']
0.9972030939	0.9962891002	0.9981409133	lbfgs	None	0.001	0.001	['rnn_proba', 'cluster', 'pos']
0.7937943375	0.8239923432	0.7719308663	lbfgs	None	0.1	0.001	['word', 'pos']
0.7923308702	0.8283381347	0.7665971084	lbfgs	None	0.1	0.01	['word', 'pos']
0.7922651085	0.8482874597	0.7520228888	lbfgs	None	0.01	1	['word', 'pos', 'cluster']
0.7918465067	0.8379148271	0.7598658476	lbfgs	None	0.01	0.1	['word', 'pos']
0.7918279082	0.8479322892	0.7514716694	lbfgs	None	0.001	1	['word', 'pos', 'cluster']
0.7915288641	0.8262591904	0.7656226436	lbfgs	None	0.1	0.01	['word', 'pos', 'cluster']
0.7901622936	0.837201869	0.757700172	lbfgs	None	0.001	0.1	['word', 'pos']
0.789918141	0.8195005804	0.7669121855	lbfgs	None	0.1	0.001	['word', 'pos', 'cluster']
0.7892196273	0.8499841797	0.7462630299	lbfgs	None	0.001	1	['word', 'pos']
0.7891383892	0.8353993914	0.7564972817	lbfgs	None	0.1	0.1	['word', 'pos', 'cluster']
0.788557652	0.8346804167	0.7567106454	lbfgs	None	0.1	0.1	['word', 'pos']
0.7881424189	0.8484992375	0.7454749589	lbfgs	None	0.01	1	['word', 'pos']
0.7881357749	0.8191511555	0.7658524395	lbfgs	None	0.1	0	['word', 'pos']
0.7876821994	0.8492809521	0.7441443595	lbfgs	None	0.1	1	['word', 'pos']
0.7867094006	0.8215439683	0.7603390754	lbfgs	None	0.1	0	['word', 'pos', 'cluster']
0.7866301901	0.8295080111	0.7560127528	lbfgs	None	0.001	0.1	['word', 'pos', 'cluster']
0.7863568324	0.8294932678	0.7566254657	lbfgs	None	0.01	0.1	['word', 'pos', 'cluster']
0.7858595077	0.8142836783	0.7644572428	lbfgs	None	0.01	0.001	['word', 'pos', 'cluster']
0.7844532731	0.8393508157	0.74542231	lbfgs	None	0.1	1	['word', 'pos', 'cluster']
0.7839366684	0.8108618158	0.7653364652	lbfgs	None	0.01	0	['word', 'pos']
0.7838804979	0.8208376563	0.7577404027	lbfgs	None	0.01	0.01	['word', 'pos']
0.7832209102	0.8131145019	0.762702007	lbfgs	None	0.01	0.001	['word', 'pos']
0.7827260033	0.817345966	0.7580086198	lbfgs	None	0.01	0.01	['word', 'pos', 'cluster']
0.7820866491	0.8171071074	0.7578395484	lbfgs	None	0.001	0.01	['word', 'pos']
0.7816039962	0.8031683758	0.7669291887	lbfgs	None	0.001	0	['word', 'pos']
0.7813478904	0.8168498859	0.7560680359	lbfgs	None	0.001	0.01	['word', 'pos', 'cluster']
0.7812936553	0.8277020503	0.7465759059	lbfgs	None	1	0.01	['word', 'pos']
0.7803545615	0.8253102073	0.7466884379	lbfgs	None	1	0	['word', 'pos']
0.7800611262	0.8249948938	0.7464136354	lbfgs	None	1	0.001	['word', 'pos']
0.7795895802	0.8063969983	0.7601627772	lbfgs	None	0.01	0	['word', 'pos', 'cluster']
0.7795651324	0.8016975355	0.7635770419	lbfgs	None	0.001	0	['word', 'pos', 'cluster']
0.7791886372	0.8301423514	0.7422541346	lbfgs	None	1	0.001	['word', 'pos', 'cluster']
0.7789240277	0.8274320557	0.7429864792	lbfgs	None	1	0.1	['word', 'pos']
0.7781851475	0.8288663882	0.7414191859	lbfgs	None	1	0.01	['word', 'pos', 'cluster']
0.7779354191	0.8271687604	0.7421100769	lbfgs	None	1	0	['word', 'pos', 'cluster']
0.7778116729	0.8075373143	0.7573212004	lbfgs	None	0.001	0.001	['word', 'pos', 'cluster']
0.7766409046	0.8283937926	0.7394803037	lbfgs	None	1	0.1	['word', 'pos', 'cluster']
0.7736699267	0.807407467	0.7496246021	lbfgs	None	0.001	0.001	['word', 'pos']
0.7732777149	0.8398774408	0.7276521047	lbfgs	None	1	1	['word', 'pos', 'cluster']
0.7705791188	0.833239746	0.7278174883	lbfgs	None	0.1	0.001	['word', 'cluster']
0.7692494159	0.8346848619	0.7244046343	lbfgs	None	1	1	['word', 'pos']
0.7673593246	0.8291960302	0.7252197479	lbfgs	None	0.1	0	['word', 'cluster']
0.7670560836	0.8312757289	0.7243474677	lbfgs	None	0.1	0.01	['word', 'cluster']
0.7641266235	0.8443741773	0.7139790989	lbfgs	None	0.001	0.1	['word', 'cluster']
0.7627728461	0.8277144017	0.7200889795	lbfgs	None	0.001	0.01	['word', 'cluster']
0.7622244593	0.8451570999	0.7105274658	lbfgs	None	0.1	0.1	['word', 'cluster']
0.7620457196	0.8431028287	0.711717422	lbfgs	None	0.01	0.1	['word', 'cluster']
0.7612907754	0.8074500733	0.7283760344	lbfgs	None	0.01	0	['word', 'cluster']
0.7601191029	0.8131792045	0.724259377	lbfgs	None	0.01	0.001	['word', 'cluster']
0.7595550406	0.7990298339	0.7300800286	lbfgs	None	0.001	0	['word', 'cluster']
0.7594555494	0.8212259385	0.7187818444	lbfgs	None	0.01	0.01	['word', 'cluster']
0.7578482137	0.810673342	0.7210276843	lbfgs	None	0.001	0.001	['word', 'cluster']
0.7563347363	0.8743649991	0.6911956708	lbfgs	None	0.001	1	['word', 'cluster']
0.7549381679	0.8708648406	0.6906155522	lbfgs	None	0.01	1	['word', 'cluster']
0.7525787734	0.8783895933	0.6856321962	lbfgs	None	0.1	1	['word', 'cluster']
0.751456736	0.8540783297	0.6922135111	lbfgs	None	1	0.01	['word', 'cluster']
0.7512246587	0.8528877934	0.6923641369	lbfgs	None	1	0	['word', 'cluster']
0.7500565501	0.8594454713	0.6893534955	lbfgs	None	1	0.1	['word', 'cluster']
0.7497227252	0.853076132	0.6905241817	lbfgs	None	1	0.001	['word', 'cluster']
0.7227018161	0.8720901114	0.6521934515	lbfgs	None	1	1	['word', 'cluster']
0.7154527616	0.7657847197	0.6795336102	lbfgs	None	0.1	0	['cluster', 'pos']
0.7138774263	0.7622369963	0.6796240254	lbfgs	None	0.01	0.001	['cluster', 'pos']
0.7136449574	0.7632535019	0.678432644	lbfgs	None	0.1	0.01	['cluster', 'pos']
0.7131540203	0.7637273973	0.6772458136	lbfgs	None	0.001	0.1	['cluster', 'pos']
0.7131200552	0.7644801089	0.6769636863	lbfgs	None	0.01	0.1	['cluster', 'pos']
0.7130413262	0.7631409021	0.6773229987	lbfgs	None	1	0.001	['cluster', 'pos']
0.7129424851	0.7622115378	0.6779964729	lbfgs	None	0.01	0	['cluster', 'pos']
0.7129424851	0.7622115378	0.6779964729	lbfgs	None	0.001	0.001	['cluster', 'pos']
0.7129126902	0.7602214765	0.6792505564	lbfgs	None	0.001	0	['cluster', 'pos']
0.7128436559	0.7630326374	0.677191124	lbfgs	None	0.1	0.001	['cluster', 'pos']
0.7128089378	0.7606457058	0.678762633	lbfgs	None	0.01	0.01	['cluster', 'pos']
0.7120961463	0.7607011006	0.6777542559	lbfgs	None	0.001	0.01	['cluster', 'pos']
0.7113435728	0.761997895	0.6755418018	lbfgs	None	0.1	0.1	['cluster', 'pos']
0.710988003	0.7607665421	0.6753906273	lbfgs	None	1	0.01	['cluster', 'pos']
0.7106720965	0.7615951568	0.6746885125	lbfgs	None	1	0	['cluster', 'pos']
0.7103243931	0.7656542391	0.672001711	lbfgs	None	1	0.1	['cluster', 'pos']
0.7089148411	0.7688300647	0.6685807732	lbfgs	None	0.001	1	['cluster', 'pos']
0.7084929882	0.7666040548	0.6689247441	lbfgs	None	0.01	1	['cluster', 'pos']
0.7081171167	0.7686204795	0.6673685551	lbfgs	None	0.1	1	['cluster', 'pos']
0.7074264469	0.7721366606	0.6655653034	lbfgs	None	1	1	['cluster', 'pos']
